roll_no,name,course,semester,attendance_pct,avg_marks,lms_engagement_score,risk_score
CS2100,Student 101,Computer Science,3,95.6,41.7,44.9,36.1
CS2101,Student 102,Civil,3,58.5,26.4,12.8,63.5
CS2102,Student 103,Computer Science,5,65.3,53.0,45.9,43.5
CS2103,Student 104,Electrical,3,40.5,69.2,57.5,44.6
CS2104,Student 105,Computer Science,5,88.3,81.6,58.8,20.3
CS2105,Student 106,Electrical,4,36.0,80.9,57.1,41.8
CS2106,Student 107,Electrical,5,41.3,71.2,85.5,37.9
CS2107,Student 108,Mechanical,5,69.2,72.1,56.0,32.3
CS2108,Student 109,Electrical,5,98.2,39.6,57.6,33.4
CS2109,Student 110,Civil,5,71.2,34.8,36.6,50.3
CS2110,Student 111,Mechanical,3,78.4,67.8,12.3,39.1
CS2111,Student 112,Computer Science,3,59.1,85.0,19.0,38.6
CS2112,Student 113,Mechanical,6,61.7,36.7,98.0,41.0
CS2113,Student 114,Civil,5,49.3,95.1,13.6,39.5
CS2114,Student 115,Computer Science,3,40.0,20.8,74.2,60.8
CS2115,Student 116,Computer Science,4,51.3,73.0,11.0,48.1
CS2116,Student 117,Mechanical,6,95.0,66.0,3.1,35.0
CS2117,Student 118,Civil,5,81.1,66.8,24.8,35.9
CS2118,Student 119,Electrical,5,65.0,62.1,13.8,46.4
CS2119,Student 120,Mechanical,6,65.8,39.9,32.3,51.3
CS2120,Student 121,Computer Science,3,90.9,66.4,97.0,17.7
CS2121,Student 122,Mechanical,6,59.3,97.7,46.6,27.9
CS2122,Student 123,Electrical,4,44.8,70.4,63.4,41.2
CS2123,Student 124,Electrical,3,92.7,65.8,72.9,22.0
CS2124,Student 125,Computer Science,5,80.9,85.2,99.6,13.6
CS2125,Student 126,Electrical,5,90.4,94.7,70.0,12.0
CS2126,Student 127,Computer Science,5,34.1,80.0,12.8,51.8
CS2127,Student 128,Mechanical,5,50.3,75.9,91.2,31.3
CS2128,Student 129,Mechanical,6,92.9,38.0,12.8,45.1
CS2129,Student 130,Electrical,5,72.5,31.7,84.4,41.4
CS2130,Student 131,Civil,4,36.9,45.3,15.6,64.0
CS2131,Student 132,Mechanical,3,96.1,25.9,80.7,35.1
CS2132,Student 133,Computer Science,5,90.2,82.3,3.6,30.3
CS2133,Student 134,Mechanical,4,37.4,51.8,6.6,63.0
CS2134,Student 135,Electrical,4,33.4,85.7,52.2,41.9
CS2135,Student 136,Civil,3,74.7,24.2,28.2,54.8
CS2136,Student 137,Mechanical,5,71.2,66.3,53.8,34.2
CS2137,Student 138,Civil,6,33.9,56.8,45.1,54.7
CS2138,Student 139,Electrical,6,94.1,63.9,22.0,32.4
CS2139,Student 140,Mechanical,6,69.5,47.4,93.7,34.5
CS2140,Student 141,Mechanical,3,70.6,54.6,95.3,30.9
CS2141,Student 142,Mechanical,5,74.5,25.1,21.6,55.8
CS2142,Student 143,Electrical,4,40.1,56.5,11.0,59.2
CS2143,Student 144,Mechanical,3,46.5,66.9,14.4,51.8
CS2144,Student 145,Civil,4,37.0,59.2,36.2,54.3
CS2145,Student 146,Civil,4,71.2,36.8,86.0,39.6
CS2146,Student 147,Computer Science,6,95.2,60.1,33.2,31.2
CS2147,Student 148,Electrical,3,95.3,46.7,76.8,27.8
CS2148,Student 149,Civil,6,94.0,69.2,36.9,27.3
CS2149,Student 150,Civil,6,88.5,81.1,87.2,14.7
CS2150,Student 151,Mechanical,6,97.0,61.5,12.0,34.2
CS2151,Student 152,Mechanical,4,80.6,47.6,64.4,35.8
CS2152,Student 153,Civil,6,35.7,57.1,76.4,47.6
CS2153,Student 154,Electrical,5,62.6,76.9,13.3,41.5
CS2154,Student 155,Electrical,6,86.0,98.6,48.2,16.5
CS2155,Student 156,Civil,4,91.2,31.2,22.8,46.5
CS2156,Student 157,Mechanical,6,38.3,46.5,46.7,56.7
CS2157,Student 158,Mechanical,5,86.5,59.2,24.4,36.8
CS2158,Student 159,Civil,4,52.7,34.8,53.2,54.4
CS2159,Student 160,Computer Science,6,62.2,51.4,97.9,35.0
CS2160,Student 161,Civil,3,66.5,24.5,43.9,54.8
CS2161,Student 162,Civil,4,40.6,73.9,57.2,42.8
CS2162,Student 163,Electrical,5,71.2,33.7,80.9,41.9
CS2163,Student 164,Civil,4,55.9,56.8,85.2,37.9
CS2164,Student 165,Computer Science,3,57.5,95.6,14.3,35.9
CS2165,Student 166,Electrical,5,34.5,27.2,15.1,72.3
CS2166,Student 167,Electrical,6,59.8,31.8,81.7,47.0
CS2167,Student 168,Computer Science,4,57.7,93.2,50.2,29.6
CS2168,Student 169,Mechanical,3,36.0,67.6,39.6,50.6
CS2169,Student 170,Computer Science,6,81.3,91.8,7.7,29.2
CS2170,Student 171,Civil,3,55.2,48.5,98.3,38.9
CS2171,Student 172,Civil,3,83.3,66.1,46.7,30.9
CS2172,Student 173,Computer Science,3,34.9,92.0,43.9,40.5
CS2173,Student 174,Mechanical,5,68.4,21.8,73.4,49.2
CS2174,Student 175,Civil,4,99.6,60.0,96.6,16.8
CS2175,Student 176,Electrical,4,39.5,68.2,26.3,51.7
CS2176,Student 177,Civil,3,50.9,87.4,28.3,39.0
CS2177,Student 178,Electrical,5,31.6,86.2,30.5,46.8
CS2178,Student 179,Electrical,5,52.4,62.4,87.0,36.7
CS2179,Student 180,Mechanical,6,59.6,85.8,65.1,28.8
CS2180,Student 181,Computer Science,6,39.8,93.7,61.0,34.4
CS2181,Student 182,Computer Science,5,55.7,98.0,51.2,28.3
CS2182,Student 183,Civil,4,69.5,62.4,71.2,33.0
CS2183,Student 184,Mechanical,6,70.2,77.5,9.6,39.0
CS2184,Student 185,Electrical,5,93.2,67.9,85.4,18.5
CS2185,Student 186,Mechanical,3,75.6,55.7,35.6,40.4
CS2186,Student 187,Computer Science,4,95.1,42.8,97.7,25.3
CS2187,Student 188,Computer Science,6,54.2,52.2,88.8,39.7
CS2188,Student 189,Computer Science,5,50.7,87.0,70.9,30.7
CS2189,Student 190,Computer Science,4,99.8,88.6,94.2,5.8
CS2190,Student 191,Computer Science,5,56.9,64.9,12.0,48.9
CS2191,Student 192,Electrical,3,35.1,86.2,17.0,48.1
CS2192,Student 193,Computer Science,3,58.1,20.9,71.6,54.1
CS2193,Student 194,Civil,5,49.1,99.0,32.7,34.2
CS2194,Student 195,Mechanical,4,44.6,24.3,61.3,60.2
CS2195,Student 196,Computer Science,6,87.4,55.9,42.5,34.2
CS2196,Student 197,Mechanical,3,76.3,82.9,55.7,25.2
CS2197,Student 198,Mechanical,5,39.6,92.6,46.4,37.8
CS2198,Student 199,Electrical,3,85.1,24.5,77.1,40.7
CS2199,Student 200,Electrical,6,36.9,64.3,4.7,58.6
CS2200,Student 201,Computer Science,6,58.9,73.6,57.4,35.5
CS2201,Student 202,Civil,4,37.8,61.4,29.2,54.5
CS2202,Student 203,Mechanical,3,30.9,84.5,16.5,50.5
CS2203,Student 204,Civil,4,43.1,53.9,60.6,49.1
CS2204,Student 205,Civil,3,91.5,22.9,67.2,40.8
CS2205,Student 206,Civil,4,69.7,44.8,55.0,43.2
CS2206,Student 207,Computer Science,5,60.2,75.9,58.4,33.9
CS2207,Student 208,Civil,5,53.1,20.8,39.5,62.5
CS2208,Student 209,Electrical,6,91.7,23.4,49.9,44.0
CS2209,Student 210,Mechanical,4,61.4,39.6,57.2,48.2
CS2210,Student 211,Computer Science,3,69.8,91.4,66.3,22.3
CS2211,Student 212,Computer Science,6,32.6,79.7,18.3,51.4
CS2212,Student 213,Mechanical,6,35.3,45.6,10.4,65.6
CS2213,Student 214,Computer Science,3,39.8,99.9,33.6,37.4
CS2214,Student 215,Computer Science,6,75.2,87.4,47.1,25.5
CS2215,Student 216,Electrical,5,86.5,73.1,64.0,23.4
CS2216,Student 217,Mechanical,3,37.3,73.8,72.9,41.0
CS2217,Student 218,Civil,3,43.2,61.8,51.4,47.7
CS2218,Student 219,Mechanical,5,90.8,32.3,65.0,37.8
CS2219,Student 220,Electrical,4,73.7,94.6,76.9,17.3
CS2220,Student 221,Computer Science,4,35.3,36.8,70.2,57.1
CS2221,Student 222,Mechanical,3,39.9,79.9,5.4,51.0
CS2222,Student 223,Electrical,3,32.3,75.1,90.3,39.0
CS2223,Student 224,Civil,5,90.1,50.9,14.4,40.7
CS2224,Student 225,Electrical,6,43.6,34.8,42.6,60.1
CS2225,Student 226,Mechanical,6,92.0,80.1,20.3,27.1
CS2226,Student 227,Mechanical,3,75.7,46.8,73.9,36.2
CS2227,Student 228,Computer Science,5,53.7,48.6,48.1,49.5
CS2228,Student 229,Mechanical,3,97.8,96.1,41.6,14.1
CS2229,Student 230,Electrical,3,32.1,49.8,94.5,48.3
CS2230,Student 231,Electrical,3,93.4,51.0,45.8,33.1
CS2231,Student 232,Mechanical,4,35.9,77.5,27.2,49.2
CS2232,Student 233,Computer Science,3,56.9,84.9,2.6,42.8
CS2233,Student 234,Electrical,4,52.8,76.4,47.7,38.8
CS2234,Student 235,Mechanical,6,56.9,80.5,74.9,30.1
CS2235,Student 236,Computer Science,6,78.1,99.5,31.1,22.7
CS2236,Student 237,Civil,5,68.2,53.2,70.0,37.4
CS2237,Student 238,Electrical,5,39.6,45.4,12.5,63.5
CS2238,Student 239,Electrical,4,71.9,94.1,20.0,29.6
CS2239,Student 240,Electrical,6,45.0,48.5,54.1,51.8
CS2240,Student 241,Computer Science,4,50.2,70.0,83.7,35.2
CS2241,Student 242,Computer Science,6,84.1,37.3,54.0,40.6
CS2242,Student 243,Computer Science,3,72.9,43.8,96.7,34.0
CS2243,Student 244,Computer Science,6,57.3,53.6,36.6,48.3
CS2244,Student 245,Computer Science,4,32.5,71.1,22.1,54.1
CS2245,Student 246,Computer Science,3,62.2,26.5,48.0,54.9
CS2246,Student 247,Civil,3,76.0,60.8,11.1,43.1
CS2247,Student 248,Electrical,3,75.8,78.4,66.8,25.0
CS2248,Student 249,Electrical,3,38.2,63.4,38.9,51.6
CS2249,Student 250,Electrical,3,30.2,99.4,28.5,42.5
CS2250,Student 251,Computer Science,4,53.3,27.0,72.7,53.3
CS2251,Student 252,Civil,3,31.9,31.3,36.0,67.5
CS2252,Student 253,Computer Science,3,53.0,75.0,32.5,42.3
CS2253,Student 254,Civil,4,32.4,80.7,27.1,49.3
CS2254,Student 255,Mechanical,5,79.8,69.2,0.7,40.3
CS2255,Student 256,Computer Science,4,89.9,20.6,11.0,53.6
CS2256,Student 257,Mechanical,6,33.0,79.6,42.7,46.4
CS2257,Student 258,Mechanical,6,68.4,36.9,87.3,40.4
CS2258,Student 259,Electrical,5,61.7,67.9,38.4,40.5
CS2259,Student 260,Computer Science,6,66.4,82.6,98.7,20.7
CS2260,Student 261,Electrical,5,98.7,89.2,99.2,5.0
CS2261,Student 262,Computer Science,5,46.3,80.1,11.6,47.1
CS2262,Student 263,Civil,5,78.9,40.7,91.0,34.0
CS2263,Student 264,Civil,4,58.6,43.5,63.8,46.4
CS2264,Student 265,Electrical,5,97.9,72.6,71.8,17.4
CS2265,Student 266,Civil,5,82.5,27.4,98.4,36.4
CS2266,Student 267,Electrical,3,62.3,40.8,3.3,58.1
CS2267,Student 268,Computer Science,4,67.7,23.4,35.2,56.5
CS2268,Student 269,Mechanical,5,45.2,29.5,54.2,59.3
CS2269,Student 270,Civil,6,71.7,56.3,30.1,42.8
CS2270,Student 271,Electrical,5,72.0,89.9,88.9,17.5
CS2271,Student 272,Computer Science,3,39.4,67.1,61.9,45.0
CS2272,Student 273,Electrical,3,53.1,94.3,8.7,39.3
CS2273,Student 274,Civil,3,88.4,30.2,42.8,44.0
CS2274,Student 275,Civil,4,53.6,74.3,4.0,48.0
CS2275,Student 276,Mechanical,4,52.8,73.7,89.1,31.6
CS2276,Student 277,Civil,4,65.7,64.0,87.8,30.6
CS2277,Student 278,Civil,3,69.4,84.4,39.3,30.6
CS2278,Student 279,Civil,6,52.3,20.0,62.6,58.6
CS2279,Student 280,Civil,6,98.5,91.3,52.1,13.7
CS2280,Student 281,Civil,4,49.7,51.0,33.0,53.1
CS2281,Student 282,Electrical,6,86.7,66.2,15.9,35.7
CS2282,Student 283,Computer Science,4,43.3,30.6,12.7,67.9
CS2283,Student 284,Computer Science,6,67.8,87.9,51.5,27.4
CS2284,Student 285,Civil,6,53.4,45.3,41.6,52.2
CS2285,Student 286,Mechanical,5,49.3,27.5,59.4,57.4
CS2286,Student 287,Computer Science,3,69.6,92.2,80.7,19.1
CS2287,Student 288,Mechanical,3,43.6,37.3,17.5,64.1
CS2288,Student 289,Civil,4,31.9,41.6,17.6,67.1
CS2289,Student 290,Civil,3,98.5,50.7,57.1,28.9
CS2290,Student 291,Mechanical,4,53.6,97.6,57.2,28.1
CS2291,Student 292,Civil,3,46.6,54.8,83.3,42.8
CS2292,Student 293,Mechanical,4,63.5,31.0,13.2,59.6
CS2293,Student 294,Civil,6,91.6,27.4,37.3,44.9
CS2294,Student 295,Electrical,6,74.2,37.5,7.3,53.9
CS2295,Student 296,Computer Science,3,42.1,86.2,68.1,35.1
CS2296,Student 297,Mechanical,4,34.4,88.3,17.9,47.3
CS2297,Student 298,Mechanical,5,92.0,98.0,5.4,22.9
CS2298,Student 299,Electrical,5,48.9,92.9,37.2,35.8
CS2299,Student 300,Mechanical,3,45.1,50.0,44.4,53.1
CS2300,Student 301,Civil,5,55.7,76.5,8.3,45.5
CS2301,Student 302,Electrical,6,74.5,85.3,9.3,34.2
CS2302,Student 303,Mechanical,6,49.0,45.0,80.1,46.4
CS2303,Student 304,Civil,6,76.5,41.6,10.7,50.6
CS2304,Student 305,Civil,5,79.0,88.5,52.9,22.4
CS2305,Student 306,Electrical,6,44.7,85.9,0.1,47.7
CS2306,Student 307,Civil,6,67.1,59.3,91.1,31.2
CS2307,Student 308,Civil,3,97.3,76.4,56.0,19.3
CS2308,Student 309,Electrical,3,84.1,22.5,89.7,39.4
CS2309,Student 310,Mechanical,3,84.8,54.6,59.7,32.3
CS2310,Student 311,Electrical,3,90.8,94.3,24.2,21.1
CS2311,Student 312,Electrical,4,96.4,74.1,14.5,28.9
CS2312,Student 313,Civil,6,60.3,69.0,87.0,30.9
CS2313,Student 314,Civil,4,89.2,79.7,2.6,31.9
CS2314,Student 315,Computer Science,4,58.8,58.3,79.1,37.3
CS2315,Student 316,Computer Science,6,44.2,88.7,21.6,42.5
CS2316,Student 317,Civil,6,98.9,61.6,88.1,18.2
CS2317,Student 318,Computer Science,3,56.1,75.8,39.2,39.4
CS2318,Student 319,Electrical,4,77.2,68.3,25.9,36.6
CS2319,Student 320,Computer Science,4,84.2,77.8,27.4,29.7
CS2320,Student 321,Mechanical,4,67.7,71.0,48.4,34.8
CS2321,Student 322,Civil,6,58.3,88.4,18.0,37.7
CS2322,Student 323,Mechanical,4,73.5,54.0,57.2,37.6
CS2323,Student 324,Civil,3,75.2,41.0,51.1,43.3
CS2324,Student 325,Electrical,6,79.9,58.1,44.9,35.8
CS2325,Student 326,Civil,4,57.5,86.2,15.6,39.4
CS2326,Student 327,Mechanical,6,42.5,65.1,69.2,43.1
CS2327,Student 328,Computer Science,4,50.9,29.4,62.2,55.4
CS2328,Student 329,Mechanical,3,31.1,69.9,63.4,46.9
CS2329,Student 330,Mechanical,5,89.4,34.3,7.6,49.0
CS2330,Student 331,Computer Science,4,39.6,55.0,49.7,52.2
CS2331,Student 332,Computer Science,3,38.0,27.7,11.9,71.3
CS2332,Student 333,Electrical,4,44.9,58.9,92.3,40.0
CS2333,Student 334,Electrical,5,85.8,31.8,10.6,50.8
CS2334,Student 335,Electrical,6,85.7,74.6,25.0,30.9
CS2335,Student 336,Mechanical,5,50.9,20.7,82.8,54.8
CS2336,Student 337,Computer Science,3,30.4,70.9,82.5,43.0
CS2337,Student 338,Computer Science,4,40.3,28.6,55.5,61.3
CS2338,Student 339,Civil,3,71.7,87.0,91.2,18.3
CS2339,Student 340,Mechanical,4,70.2,70.5,25.4,38.6
CS2340,Student 341,Computer Science,3,96.5,40.5,96.9,25.8
CS2341,Student 342,Civil,4,35.2,43.0,36.0,61.5
CS2342,Student 343,Computer Science,5,94.4,38.3,20.6,42.8
CS2343,Student 344,Civil,6,94.2,90.3,46.6,16.9
CS2344,Student 345,Electrical,6,58.9,61.2,43.0,43.4
CS2345,Student 346,Mechanical,3,90.6,58.7,26.8,34.9
CS2346,Student 347,Mechanical,5,75.5,44.3,68.0,38.5
CS2347,Student 348,Computer Science,6,76.4,93.5,95.8,12.9
CS2348,Student 349,Computer Science,5,84.7,55.4,24.7,39.0
CS2349,Student 350,Civil,4,49.3,61.9,79.8,39.6
CS2350,Student 351,Computer Science,3,45.0,43.6,43.4,55.9
CS2351,Student 352,Civil,5,36.9,21.1,75.2,61.8
CS2352,Student 353,Mechanical,6,92.3,31.1,13.5,47.9
CS2353,Student 354,Computer Science,3,54.5,99.2,83.5,21.8
CS2354,Student 355,Civil,5,80.0,39.7,82.5,35.6
CS2355,Student 356,Mechanical,6,64.1,45.6,23.8,51.4
CS2356,Student 357,Mechanical,3,80.7,43.6,62.2,37.8
CS2357,Student 358,Civil,5,48.8,24.1,2.2,70.4
CS2358,Student 359,Mechanical,4,46.6,54.2,6.8,58.3
CS2359,Student 360,Mechanical,4,54.8,26.9,42.5,58.8
CS2360,Student 361,Mechanical,5,46.0,94.2,62.9,31.3
CS2361,Student 362,Mechanical,4,94.6,93.4,9.9,22.8
CS2362,Student 363,Civil,4,89.5,91.0,39.5,19.9
CS2363,Student 364,Electrical,5,70.0,79.0,36.3,33.1
CS2364,Student 365,Civil,4,87.5,50.7,25.7,39.6
CS2365,Student 366,Mechanical,4,61.5,78.7,89.5,26.0
CS2366,Student 367,Electrical,3,59.6,70.4,10.0,46.0
CS2367,Student 368,Civil,3,30.8,23.0,11.5,76.2
CS2368,Student 369,Electrical,3,97.4,72.2,89.9,14.2
CS2369,Student 370,Electrical,6,71.7,57.5,37.9,40.7
CS2370,Student 371,Civil,3,72.0,48.0,64.7,39.1
CS2371,Student 372,Computer Science,3,94.9,23.2,16.5,49.5
CS2372,Student 373,Civil,5,45.4,76.9,53.4,40.4
CS2373,Student 374,Computer Science,4,59.3,62.7,40.8,43.0
CS2374,Student 375,Civil,3,88.6,59.5,51.5,30.5
CS2375,Student 376,Electrical,6,91.6,43.1,18.0,42.5
CS2376,Student 377,Electrical,4,54.1,57.1,56.9,44.1
CS2377,Student 378,Civil,5,68.5,48.2,6.0,52.1
CS2378,Student 379,Mechanical,4,41.8,59.7,24.9,54.4
CS2379,Student 380,Computer Science,3,86.9,56.3,38.4,35.0
CS2380,Student 381,Computer Science,5,38.4,30.0,80.9,56.5
CS2381,Student 382,Electrical,5,80.5,59.3,84.3,27.2
CS2382,Student 383,Civil,3,79.5,53.6,60.8,34.6
CS2383,Student 384,Mechanical,3,52.8,25.0,38.5,61.2
CS2384,Student 385,Civil,5,91.8,74.3,69.8,19.6
CS2385,Student 386,Civil,5,98.5,50.7,37.9,32.7
CS2386,Student 387,Electrical,6,75.2,95.9,41.2,23.3
CS2387,Student 388,Electrical,4,39.7,68.5,52.8,46.2
CS2388,Student 389,Computer Science,4,43.2,62.0,89.5,40.0
CS2389,Student 390,Electrical,4,35.2,66.1,55.1,48.5
CS2390,Student 391,Civil,4,64.4,28.0,63.3,50.4
CS2391,Student 392,Computer Science,3,88.3,60.8,37.5,32.9
CS2392,Student 393,Civil,5,58.3,76.6,59.5,34.1
CS2393,Student 394,Civil,4,57.5,90.3,80.2,24.8
CS2394,Student 395,Civil,6,66.8,48.7,10.3,51.7
CS2395,Student 396,Computer Science,3,54.9,52.9,24.8,51.9
CS2396,Student 397,Mechanical,5,73.2,77.3,30.4,33.7
CS2397,Student 398,Civil,5,30.9,59.3,28.0,58.3
CS2398,Student 399,Electrical,6,46.8,37.5,9.5,64.4
CS2399,Student 400,Mechanical,5,77.9,67.1,22.7,37.5
CS2400,Student 401,Computer Science,3,54.6,79.3,41.9,38.1
CS2401,Student 402,Electrical,5,96.7,20.4,93.4,34.5
CS2402,Student 403,Computer Science,3,64.4,48.4,35.9,47.7
CS2403,Student 404,Civil,4,30.6,57.3,0.9,64.7
CS2404,Student 405,Civil,3,40.8,57.4,37.5,53.2
CS2405,Student 406,Electrical,4,47.7,82.0,95.6,29.0
CS2406,Student 407,Computer Science,5,96.4,67.4,54.5,23.6
CS2407,Student 408,Civil,4,84.9,60.1,47.4,32.5
CS2408,Student 409,Computer Science,5,67.5,93.2,75.3,20.7
CS2409,Student 410,Electrical,5,66.5,95.5,5.7,34.1
CS2410,Student 411,Civil,6,59.1,89.0,65.3,27.7
CS2411,Student 412,Computer Science,4,84.6,84.9,5.2,31.2
CS2412,Student 413,Electrical,4,61.3,28.8,15.5,60.9
CS2413,Student 414,Electrical,5,44.9,28.6,23.5,65.9
CS2414,Student 415,Electrical,5,61.7,94.7,17.9,33.9
CS2415,Student 416,Civil,5,90.3,71.0,39.6,27.6
CS2416,Student 417,Civil,3,50.0,22.1,88.0,53.6
CS2417,Student 418,Civil,5,39.6,89.4,35.4,41.3
CS2418,Student 419,Civil,6,77.5,64.4,4.6,42.3
