room_no,date,time_slot,booked_by,capacity,occupancy,utilization_pct
Room 204,2026-07-08,14:00,Course 211,40,27,67.5
Lab 2,2026-07-25,10:00,Course 239,30,6,20.0
Lab 1,2026-07-24,08:00,Course 494,200,198,99.0
Room 204,2026-07-10,08:00,Course 327,100,95,95.0
Auditorium A,2026-07-19,10:00,Course 171,30,14,46.7
Lab 2,2026-07-15,08:00,Course 457,30,15,50.0
Room 204,2026-07-10,10:00,Course 466,60,22,36.7
Room 101,2026-07-06,12:00,Course 290,200,143,71.5
Conference 1,2026-07-17,12:00,Course 461,30,28,93.3
Auditorium A,2026-07-15,14:00,Course 355,30,23,76.7
Seminar 1,2026-07-08,10:00,Course 223,100,0,0.0
Room 204,2026-07-08,14:00,Course 416,60,46,76.7
Lab 1,2026-07-02,12:00,Course 114,30,20,66.7
Room 101,2026-07-09,12:00,Course 447,100,8,8.0
Lab 2,2026-07-12,12:00,Course 342,30,4,13.3
Room 204,2026-07-22,12:00,Course 422,60,14,23.3
Room 101,2026-07-12,14:00,Course 341,30,7,23.3
Room 204,2026-07-14,12:00,Course 105,100,32,32.0
Auditorium A,2026-07-24,12:00,Course 235,100,13,13.0
Conference 1,2026-07-05,14:00,Course 302,200,4,2.0
Room 204,2026-07-22,10:00,Course 137,200,68,34.0
Room 101,2026-07-16,12:00,Course 122,60,7,11.7
Conference 1,2026-07-11,08:00,Course 469,60,12,20.0
Lab 2,2026-07-02,14:00,Course 301,200,42,21.0
Lab 2,2026-07-16,10:00,Course 224,60,6,10.0
Lab 1,2026-07-20,14:00,Course 323,200,152,76.0
Auditorium A,2026-07-03,12:00,Course 152,30,16,53.3
Auditorium A,2026-07-23,14:00,Course 126,200,85,42.5
Room 204,2026-07-13,12:00,Course 304,60,32,53.3
Room 204,2026-07-13,10:00,Course 188,200,111,55.5
Room 204,2026-07-16,12:00,Course 239,40,37,92.5
Lab 1,2026-07-22,10:00,Course 276,200,82,41.0
Room 204,2026-07-19,10:00,Course 432,60,11,18.3
Auditorium A,2026-07-26,14:00,Course 399,30,11,36.7
Auditorium A,2026-07-20,12:00,Course 266,60,35,58.3
Conference 1,2026-07-25,10:00,Course 289,200,58,29.0
Lab 2,2026-07-02,14:00,Course 461,60,26,43.3
Lab 1,2026-07-27,14:00,Course 478,200,84,42.0
Lab 2,2026-07-01,12:00,Course 163,200,148,74.0
Auditorium A,2026-07-26,08:00,Course 255,60,52,86.7
Room 204,2026-07-18,14:00,Course 407,30,15,50.0
Seminar 1,2026-07-27,14:00,Course 162,100,97,97.0
Lab 2,2026-07-27,10:00,Course 373,100,54,54.0
Conference 1,2026-07-07,10:00,Course 243,100,84,84.0
Room 204,2026-07-12,14:00,Course 262,40,11,27.5
Room 204,2026-07-11,08:00,Course 391,200,161,80.5
Conference 1,2026-07-23,10:00,Course 476,30,30,100.0
Lab 2,2026-07-20,08:00,Course 470,40,2,5.0
Lab 1,2026-07-08,14:00,Course 164,200,190,95.0
Auditorium A,2026-07-23,12:00,Course 184,30,25,83.3
Lab 1,2026-07-23,12:00,Course 399,60,60,100.0
Conference 1,2026-07-26,12:00,Course 341,100,37,37.0
Conference 1,2026-07-22,10:00,Course 357,40,3,7.5
Auditorium A,2026-07-03,10:00,Course 263,40,18,45.0
Seminar 1,2026-07-17,12:00,Course 134,60,20,33.3
Lab 2,2026-07-14,12:00,Course 107,30,22,73.3
Room 101,2026-07-11,14:00,Course 436,40,19,47.5
Auditorium A,2026-07-12,12:00,Course 112,60,27,45.0
Lab 2,2026-07-24,14:00,Course 246,200,39,19.5
Lab 2,2026-07-12,14:00,Course 340,200,25,12.5
Room 204,2026-07-14,10:00,Course 465,200,32,16.0
Lab 2,2026-07-02,12:00,Course 342,100,60,60.0
Room 204,2026-07-21,10:00,Course 239,40,9,22.5
Auditorium A,2026-07-16,10:00,Course 428,30,4,13.3
Lab 1,2026-07-19,14:00,Course 298,100,20,20.0
Room 101,2026-07-04,12:00,Course 203,30,11,36.7
Seminar 1,2026-07-23,14:00,Course 260,200,192,96.0
Auditorium A,2026-07-15,08:00,Course 255,200,153,76.5
Room 101,2026-07-22,10:00,Course 480,200,142,71.0
Lab 1,2026-07-21,12:00,Course 239,200,31,15.5
Lab 1,2026-07-01,12:00,Course 157,100,5,5.0
Conference 1,2026-07-14,14:00,Course 392,100,93,93.0
Auditorium A,2026-07-21,08:00,Course 132,30,22,73.3
Room 101,2026-07-09,08:00,Course 114,30,30,100.0
Auditorium A,2026-07-12,08:00,Course 286,60,57,95.0
Room 204,2026-07-23,14:00,Course 119,40,1,2.5
Room 204,2026-07-07,10:00,Course 479,200,199,99.5
Lab 1,2026-07-21,08:00,Course 436,60,22,36.7
Auditorium A,2026-07-17,08:00,Course 271,30,12,40.0
Room 101,2026-07-16,08:00,Course 359,40,34,85.0
Room 101,2026-07-22,14:00,Course 111,200,69,34.5
Room 101,2026-07-22,08:00,Course 340,60,10,16.7
Seminar 1,2026-07-01,08:00,Course 119,60,50,83.3
Room 101,2026-07-23,10:00,Course 301,200,151,75.5
Auditorium A,2026-07-24,10:00,Course 440,30,15,50.0
Lab 1,2026-07-12,14:00,Course 241,200,109,54.5
Room 204,2026-07-26,10:00,Course 160,100,57,57.0
Seminar 1,2026-07-25,10:00,Course 315,100,96,96.0
Room 101,2026-07-06,08:00,Course 197,200,186,93.0
Room 204,2026-07-10,08:00,Course 443,40,3,7.5
Conference 1,2026-07-08,12:00,Course 407,200,83,41.5
Room 101,2026-07-17,12:00,Course 252,30,6,20.0
Lab 2,2026-07-19,10:00,Course 295,40,4,10.0
Seminar 1,2026-07-24,08:00,Course 130,40,25,62.5
Room 101,2026-07-04,12:00,Course 463,60,59,98.3
Seminar 1,2026-07-04,10:00,Course 452,100,5,5.0
Room 101,2026-07-01,14:00,Course 182,40,9,22.5
Auditorium A,2026-07-03,08:00,Course 176,100,34,34.0
Lab 1,2026-07-12,14:00,Course 499,60,30,50.0
Lab 1,2026-07-18,14:00,Course 406,30,7,23.3
Conference 1,2026-07-20,10:00,Course 166,200,42,21.0
Seminar 1,2026-07-27,10:00,Course 117,200,60,30.0
Room 101,2026-07-08,14:00,Course 188,30,29,96.7
Lab 1,2026-07-09,14:00,Course 465,200,198,99.0
Room 204,2026-07-02,12:00,Course 407,100,66,66.0
Seminar 1,2026-07-21,10:00,Course 128,60,54,90.0
Conference 1,2026-07-08,12:00,Course 181,30,25,83.3
Auditorium A,2026-07-17,10:00,Course 429,40,7,17.5
Seminar 1,2026-07-05,14:00,Course 477,30,30,100.0
Seminar 1,2026-07-14,12:00,Course 489,200,88,44.0
Auditorium A,2026-07-16,10:00,Course 297,40,4,10.0
Lab 2,2026-07-16,14:00,Course 337,200,62,31.0
Seminar 1,2026-07-09,14:00,Course 238,100,55,55.0
Lab 1,2026-07-19,14:00,Course 256,30,6,20.0
Room 204,2026-07-05,10:00,Course 385,200,113,56.5
Lab 1,2026-07-22,10:00,Course 239,30,3,10.0
Auditorium A,2026-07-01,10:00,Course 147,30,1,3.3
Room 101,2026-07-23,14:00,Course 428,40,5,12.5
Auditorium A,2026-07-07,08:00,Course 155,200,1,0.5
Lab 2,2026-07-23,08:00,Course 372,30,2,6.7
Auditorium A,2026-07-19,14:00,Course 381,40,15,37.5
Lab 2,2026-07-26,14:00,Course 287,200,147,73.5
Room 204,2026-07-24,14:00,Course 335,60,5,8.3
Lab 2,2026-07-17,08:00,Course 302,200,54,27.0
Lab 1,2026-07-04,12:00,Course 167,60,24,40.0
Lab 2,2026-07-04,10:00,Course 153,30,19,63.3
Room 204,2026-07-04,10:00,Course 200,100,10,10.0
Room 204,2026-07-13,14:00,Course 189,40,36,90.0
Lab 1,2026-07-14,10:00,Course 247,30,19,63.3
Room 101,2026-07-09,14:00,Course 260,30,13,43.3
Room 101,2026-07-09,12:00,Course 445,40,11,27.5
Room 101,2026-07-08,14:00,Course 213,30,0,0.0
Seminar 1,2026-07-18,08:00,Course 335,100,22,22.0
Lab 2,2026-07-11,10:00,Course 152,200,26,13.0
Auditorium A,2026-07-27,14:00,Course 318,100,78,78.0
Auditorium A,2026-07-27,10:00,Course 185,60,37,61.7
Seminar 1,2026-07-13,10:00,Course 471,60,8,13.3
Lab 1,2026-07-25,12:00,Course 209,60,31,51.7
Lab 1,2026-07-25,10:00,Course 441,100,57,57.0
Lab 2,2026-07-14,10:00,Course 421,30,0,0.0
Seminar 1,2026-07-06,10:00,Course 288,40,40,100.0
Auditorium A,2026-07-10,12:00,Course 266,40,1,2.5
Conference 1,2026-07-26,10:00,Course 227,30,0,0.0
Room 101,2026-07-20,08:00,Course 377,30,27,90.0
Lab 1,2026-07-04,12:00,Course 174,200,188,94.0
Lab 1,2026-07-16,08:00,Course 232,30,20,66.7
Room 101,2026-07-03,10:00,Course 274,40,1,2.5
Room 101,2026-07-17,10:00,Course 289,200,155,77.5
Room 204,2026-07-18,08:00,Course 496,30,10,33.3
Auditorium A,2026-07-11,10:00,Course 281,60,44,73.3
Room 204,2026-07-20,12:00,Course 474,40,19,47.5
Room 204,2026-07-18,08:00,Course 211,200,121,60.5
Lab 1,2026-07-04,10:00,Course 129,30,3,10.0
Lab 1,2026-07-02,14:00,Course 246,60,38,63.3
Seminar 1,2026-07-28,12:00,Course 131,60,34,56.7
Lab 2,2026-07-12,14:00,Course 434,60,53,88.3
Lab 1,2026-07-19,14:00,Course 470,40,35,87.5
Auditorium A,2026-07-05,12:00,Course 422,60,8,13.3
Room 204,2026-07-14,10:00,Course 243,100,50,50.0
Conference 1,2026-07-16,08:00,Course 194,40,32,80.0
Lab 1,2026-07-18,10:00,Course 225,60,2,3.3
Seminar 1,2026-07-17,08:00,Course 382,30,6,20.0
Lab 1,2026-07-14,08:00,Course 435,100,74,74.0
Room 204,2026-07-07,10:00,Course 242,30,11,36.7
Seminar 1,2026-07-09,14:00,Course 250,100,11,11.0
Conference 1,2026-07-18,10:00,Course 149,200,16,8.0
Lab 1,2026-07-27,10:00,Course 324,200,124,62.0
Auditorium A,2026-07-20,08:00,Course 238,60,37,61.7
Seminar 1,2026-07-28,14:00,Course 408,40,5,12.5
Room 101,2026-07-23,12:00,Course 489,200,73,36.5
Auditorium A,2026-07-07,10:00,Course 137,100,99,99.0
Lab 2,2026-07-07,08:00,Course 459,200,3,1.5
Lab 2,2026-07-02,10:00,Course 168,30,1,3.3
Room 204,2026-07-13,14:00,Course 338,100,97,97.0
Room 101,2026-07-06,14:00,Course 466,200,95,47.5
Conference 1,2026-07-19,12:00,Course 139,200,118,59.0
Auditorium A,2026-07-23,08:00,Course 415,40,8,20.0
Conference 1,2026-07-20,12:00,Course 360,60,41,68.3
Lab 2,2026-07-10,12:00,Course 479,60,55,91.7
Auditorium A,2026-07-01,14:00,Course 452,40,29,72.5
Lab 1,2026-07-04,08:00,Course 236,40,21,52.5
Auditorium A,2026-07-23,12:00,Course 166,60,47,78.3
Conference 1,2026-07-26,10:00,Course 103,200,106,53.0
Conference 1,2026-07-04,14:00,Course 137,60,38,63.3
Conference 1,2026-07-08,10:00,Course 103,30,29,96.7
Lab 2,2026-07-01,10:00,Course 243,60,32,53.3
Room 204,2026-07-10,14:00,Course 293,60,20,33.3
Room 101,2026-07-20,10:00,Course 483,100,0,0.0
Auditorium A,2026-07-17,14:00,Course 296,30,5,16.7
Lab 1,2026-07-23,08:00,Course 322,30,21,70.0
Conference 1,2026-07-15,14:00,Course 123,200,81,40.5
Seminar 1,2026-07-09,14:00,Course 260,200,50,25.0
Room 204,2026-07-28,14:00,Course 359,100,63,63.0
Room 204,2026-07-25,10:00,Course 146,60,11,18.3
Room 204,2026-07-21,12:00,Course 407,100,30,30.0
Lab 2,2026-07-20,08:00,Course 357,100,41,41.0
Auditorium A,2026-07-20,10:00,Course 389,30,11,36.7
Auditorium A,2026-07-20,12:00,Course 339,100,82,82.0
Auditorium A,2026-07-04,12:00,Course 174,40,7,17.5
Lab 2,2026-07-11,10:00,Course 190,200,156,78.0
Lab 1,2026-07-21,14:00,Course 393,200,54,27.0
Conference 1,2026-07-19,08:00,Course 277,30,25,83.3
Auditorium A,2026-07-01,08:00,Course 176,40,2,5.0
Lab 1,2026-07-02,10:00,Course 364,200,141,70.5
Room 204,2026-07-02,12:00,Course 366,30,28,93.3
Lab 2,2026-07-19,14:00,Course 406,60,29,48.3
Room 204,2026-07-06,10:00,Course 456,200,155,77.5
Room 204,2026-07-21,10:00,Course 302,60,24,40.0
Lab 1,2026-07-08,10:00,Course 112,200,72,36.0
Auditorium A,2026-07-02,08:00,Course 369,30,14,46.7
Conference 1,2026-07-18,14:00,Course 395,100,60,60.0
Auditorium A,2026-07-25,14:00,Course 135,200,85,42.5
Lab 1,2026-07-02,14:00,Course 363,200,153,76.5
Lab 2,2026-07-24,08:00,Course 120,60,47,78.3
Lab 1,2026-07-15,14:00,Course 292,40,20,50.0
Room 204,2026-07-09,14:00,Course 461,60,2,3.3
Auditorium A,2026-07-21,12:00,Course 409,200,140,70.0
Seminar 1,2026-07-03,14:00,Course 264,60,31,51.7
Room 101,2026-07-06,14:00,Course 415,200,13,6.5
Lab 1,2026-07-28,12:00,Course 180,30,29,96.7
Auditorium A,2026-07-24,14:00,Course 334,100,45,45.0
Room 204,2026-07-12,08:00,Course 329,200,22,11.0
Seminar 1,2026-07-19,10:00,Course 211,200,191,95.5
Auditorium A,2026-07-06,14:00,Course 347,200,193,96.5
Conference 1,2026-07-12,12:00,Course 361,100,23,23.0
Seminar 1,2026-07-25,10:00,Course 223,200,156,78.0
Room 204,2026-07-13,10:00,Course 103,200,0,0.0
Auditorium A,2026-07-25,10:00,Course 293,40,12,30.0
Auditorium A,2026-07-26,08:00,Course 420,100,11,11.0
Seminar 1,2026-07-18,10:00,Course 335,40,6,15.0
Room 101,2026-07-21,14:00,Course 326,200,165,82.5
Lab 2,2026-07-07,08:00,Course 384,30,20,66.7
Lab 1,2026-07-17,14:00,Course 453,40,28,70.0
Auditorium A,2026-07-27,10:00,Course 160,200,35,17.5
Lab 2,2026-07-28,14:00,Course 296,100,66,66.0
Conference 1,2026-07-24,12:00,Course 241,200,125,62.5
Auditorium A,2026-07-10,08:00,Course 433,200,190,95.0
Conference 1,2026-07-16,12:00,Course 323,200,122,61.0
Room 204,2026-07-01,08:00,Course 403,30,9,30.0
Room 204,2026-07-22,08:00,Course 445,100,95,95.0
Auditorium A,2026-07-16,12:00,Course 218,30,21,70.0
Seminar 1,2026-07-23,10:00,Course 496,60,12,20.0
Auditorium A,2026-07-05,12:00,Course 441,200,20,10.0
Lab 1,2026-07-19,12:00,Course 179,30,24,80.0
Seminar 1,2026-07-02,08:00,Course 195,200,117,58.5
Lab 2,2026-07-11,10:00,Course 250,40,23,57.5
Lab 2,2026-07-14,10:00,Course 257,100,84,84.0
Lab 2,2026-07-27,08:00,Course 461,40,9,22.5
Auditorium A,2026-07-12,12:00,Course 123,200,144,72.0
Auditorium A,2026-07-07,10:00,Course 388,60,2,3.3
Seminar 1,2026-07-08,12:00,Course 482,200,118,59.0
Seminar 1,2026-07-04,12:00,Course 449,40,13,32.5
Conference 1,2026-07-02,14:00,Course 216,40,16,40.0
Seminar 1,2026-07-22,10:00,Course 136,60,49,81.7
Lab 1,2026-07-25,10:00,Course 339,30,30,100.0
Room 204,2026-07-05,10:00,Course 141,60,37,61.7
Lab 1,2026-07-02,14:00,Course 303,200,45,22.5
Auditorium A,2026-07-03,08:00,Course 288,200,183,91.5
Lab 1,2026-07-13,10:00,Course 189,30,13,43.3
Conference 1,2026-07-15,14:00,Course 169,200,159,79.5
Auditorium A,2026-07-16,12:00,Course 206,100,87,87.0
Conference 1,2026-07-18,12:00,Course 303,60,11,18.3
Conference 1,2026-07-01,14:00,Course 400,40,12,30.0
Auditorium A,2026-07-22,14:00,Course 481,30,27,90.0
Seminar 1,2026-07-23,10:00,Course 131,60,5,8.3
Lab 1,2026-07-12,12:00,Course 291,40,39,97.5
Conference 1,2026-07-19,08:00,Course 391,40,25,62.5
Lab 1,2026-07-04,08:00,Course 255,30,13,43.3
Lab 1,2026-07-02,10:00,Course 126,40,15,37.5
Auditorium A,2026-07-13,14:00,Course 357,30,24,80.0
Seminar 1,2026-07-21,08:00,Course 460,100,46,46.0
Conference 1,2026-07-13,08:00,Course 248,60,27,45.0
Room 101,2026-07-10,08:00,Course 105,40,38,95.0
Room 101,2026-07-14,12:00,Course 284,40,2,5.0
Lab 2,2026-07-10,14:00,Course 315,40,20,50.0
Conference 1,2026-07-10,12:00,Course 203,60,20,33.3
Room 204,2026-07-17,08:00,Course 489,40,12,30.0
Auditorium A,2026-07-13,08:00,Course 299,60,53,88.3
Room 204,2026-07-11,08:00,Course 441,40,18,45.0
Auditorium A,2026-07-25,08:00,Course 410,30,23,76.7
Conference 1,2026-07-06,12:00,Course 236,60,60,100.0
Seminar 1,2026-07-06,10:00,Course 284,100,25,25.0
Seminar 1,2026-07-13,08:00,Course 494,200,189,94.5
Lab 1,2026-07-22,08:00,Course 146,200,37,18.5
Conference 1,2026-07-19,12:00,Course 373,200,53,26.5
Room 204,2026-07-23,14:00,Course 421,100,39,39.0
Lab 1,2026-07-02,08:00,Course 355,60,41,68.3
Lab 2,2026-07-26,08:00,Course 459,40,25,62.5
Seminar 1,2026-07-21,10:00,Course 492,30,3,10.0
Room 101,2026-07-07,10:00,Course 125,200,163,81.5
Auditorium A,2026-07-19,12:00,Course 298,200,124,62.0
Lab 1,2026-07-20,10:00,Course 181,200,59,29.5
Room 204,2026-07-26,08:00,Course 103,30,7,23.3
Lab 1,2026-07-13,14:00,Course 331,40,19,47.5
Lab 1,2026-07-09,12:00,Course 296,200,55,27.5
Auditorium A,2026-07-02,08:00,Course 431,200,55,27.5
Lab 2,2026-07-26,10:00,Course 293,30,7,23.3
Conference 1,2026-07-19,14:00,Course 499,40,15,37.5
Seminar 1,2026-07-18,08:00,Course 106,100,19,19.0
Conference 1,2026-07-27,10:00,Course 295,30,15,50.0
Lab 2,2026-07-24,12:00,Course 310,200,186,93.0
Room 204,2026-07-07,14:00,Course 293,200,84,42.0
Lab 1,2026-07-14,12:00,Course 147,200,177,88.5
Room 101,2026-07-06,12:00,Course 312,200,152,76.0
Seminar 1,2026-07-06,14:00,Course 377,30,28,93.3
Lab 2,2026-07-15,10:00,Course 263,40,36,90.0
Seminar 1,2026-07-02,10:00,Course 141,100,62,62.0
Room 101,2026-07-12,10:00,Course 397,100,14,14.0
Room 101,2026-07-08,10:00,Course 313,30,6,20.0
Lab 1,2026-07-04,08:00,Course 372,30,12,40.0
Lab 2,2026-07-22,08:00,Course 146,30,15,50.0
Seminar 1,2026-07-07,12:00,Course 279,100,86,86.0
Room 204,2026-07-28,12:00,Course 158,40,1,2.5
Seminar 1,2026-07-19,14:00,Course 412,200,39,19.5
Seminar 1,2026-07-22,12:00,Course 186,30,29,96.7
Seminar 1,2026-07-10,12:00,Course 151,100,35,35.0
Room 101,2026-07-26,10:00,Course 178,100,94,94.0
Auditorium A,2026-07-13,14:00,Course 328,200,134,67.0
Auditorium A,2026-07-11,12:00,Course 449,200,56,28.0
