roll_no,name,branch,cgpa,technical_score,communication_score,internship_experience,readiness_index
CS2061,Student 62,Mechanical,7.3,91.9,41.2,0,63.7
CS2062,Student 63,Mechanical,8.5,90.8,66.2,3,76.2
CS2063,Student 64,Mechanical,5.8,47.0,43.7,3,46.5
CS2064,Student 65,Civil,7.1,80.4,78.1,3,72.8
CS2065,Student 66,Civil,5.2,83.6,31.2,1,54.2
CS2066,Student 67,Electrical,6.2,58.1,80.2,3,62.7
CS2067,Student 68,Computer Science,7.9,91.2,38.4,3,66.8
CS2068,Student 69,Electrical,9.6,76.5,80.0,0,73.8
CS2069,Student 70,Computer Science,8.4,54.6,43.3,1,52.6
CS2070,Student 71,Electrical,6.0,33.8,87.2,1,52.7
CS2071,Student 72,Civil,6.7,70.1,69.6,1,63.3
CS2072,Student 73,Civil,7.2,44.0,95.7,1,61.7
CS2073,Student 74,Computer Science,5.7,47.6,67.4,2,52.7
CS2074,Student 75,Civil,7.6,80.1,72.1,1,69.9
CS2075,Student 76,Mechanical,8.2,61.8,46.9,0,55.2
CS2076,Student 77,Computer Science,9.4,77.0,87.9,2,78.0
CS2077,Student 78,Civil,5.4,59.3,38.0,2,47.9
CS2078,Student 79,Computer Science,9.0,59.9,50.9,0,57.2
CS2079,Student 80,Mechanical,9.0,62.9,34.4,2,55.5
CS2080,Student 81,Civil,8.1,58.0,56.1,2,58.2
CS2081,Student 82,Civil,8.7,99.7,76.8,1,81.3
CS2082,Student 83,Computer Science,8.0,61.0,33.2,1,51.4
CS2083,Student 84,Mechanical,9.2,74.7,92.6,2,78.1
CS2084,Student 85,Mechanical,7.5,33.3,59.1,1,47.0
CS2085,Student 86,Electrical,7.7,80.1,85.3,2,75.0
CS2086,Student 87,Electrical,6.9,54.3,96.7,0,64.5
CS2087,Student 88,Civil,5.5,53.8,76.5,3,58.5
CS2088,Student 89,Electrical,7.7,30.6,82.5,0,52.4
CS2089,Student 90,Civil,5.3,48.1,60.7,2,50.1
CS2090,Student 91,Civil,9.5,39.9,47.2,3,52.1
CS2091,Student 92,Civil,7.4,64.0,61.9,0,59.0
CS2092,Student 93,Civil,6.8,45.1,57.6,2,50.9
CS2093,Student 94,Mechanical,5.1,32.1,76.5,0,46.0
CS2094,Student 95,Computer Science,9.2,56.4,69.9,0,61.9
CS2095,Student 96,Electrical,6.4,86.7,60.9,0,65.8
CS2096,Student 97,Mechanical,6.2,57.4,41.0,1,48.7
CS2097,Student 98,Electrical,8.2,37.9,45.8,0,45.3
CS2098,Student 99,Computer Science,7.5,87.5,75.5,2,74.7
CS2099,Student 100,Civil,6.7,63.0,38.5,3,53.1
CS2100,Student 101,Electrical,8.9,64.8,76.7,1,67.7
CS2101,Student 102,Civil,6.0,73.4,55.4,1,59.0
CS2102,Student 103,Mechanical,8.5,50.5,32.6,1,48.0
CS2103,Student 104,Civil,6.7,42.8,34.8,2,43.0
CS2104,Student 105,Computer Science,7.5,87.1,48.2,1,65.3
CS2105,Student 106,Mechanical,7.2,52.6,85.4,3,64.1
CS2106,Student 107,Mechanical,8.1,64.3,95.8,0,70.7
CS2107,Student 108,Electrical,6.3,38.2,35.0,1,39.4
CS2108,Student 109,Electrical,5.4,44.6,60.2,2,48.7
CS2109,Student 110,Computer Science,8.2,85.1,94.8,2,80.9
CS2110,Student 111,Computer Science,8.4,93.8,53.7,2,72.4
CS2111,Student 112,Civil,6.6,42.1,71.1,3,54.4
CS2112,Student 113,Electrical,6.3,81.1,35.9,3,58.8
CS2113,Student 114,Computer Science,8.0,33.6,87.0,2,57.5
CS2114,Student 115,Civil,8.9,77.7,50.2,0,63.9
CS2115,Student 116,Electrical,6.4,57.8,58.4,1,54.4
CS2116,Student 117,Computer Science,8.5,79.3,89.0,2,77.4
CS2117,Student 118,Civil,8.1,44.5,88.0,3,63.4
CS2118,Student 119,Electrical,7.8,72.3,67.5,1,65.8
CS2119,Student 120,Electrical,5.4,70.6,90.0,2,68.0
CS2120,Student 121,Electrical,8.9,54.4,91.8,2,69.1
CS2121,Student 122,Mechanical,5.6,53.6,74.6,1,56.0
CS2122,Student 123,Civil,5.3,94.9,57.8,3,68.9
CS2123,Student 124,Computer Science,9.0,95.0,32.3,2,67.7
CS2124,Student 125,Computer Science,8.5,58.7,71.5,2,63.9
CS2125,Student 126,Civil,10.0,83.5,91.7,2,82.9
CS2126,Student 127,Civil,5.6,87.2,82.2,1,71.7
CS2127,Student 128,Computer Science,9.4,91.0,78.0,0,78.6
CS2128,Student 129,Mechanical,6.4,31.8,45.4,3,42.1
CS2129,Student 130,Computer Science,9.7,47.4,74.0,0,60.6
CS2130,Student 131,Civil,5.5,85.7,40.9,0,57.5
CS2131,Student 132,Electrical,6.9,63.1,54.6,3,58.4
CS2132,Student 133,Mechanical,9.8,66.9,34.2,3,59.6
CS2133,Student 134,Mechanical,9.6,34.2,72.3,0,54.6
CS2134,Student 135,Electrical,6.0,71.7,74.1,3,65.9
CS2135,Student 136,Civil,8.3,85.9,99.3,2,82.8
CS2136,Student 137,Computer Science,6.0,30.9,66.8,3,47.4
CS2137,Student 138,Civil,6.6,77.3,52.3,2,61.8
CS2138,Student 139,Mechanical,5.5,30.3,85.2,2,50.7
CS2139,Student 140,Mechanical,8.0,30.6,35.3,2,40.8
CS2140,Student 141,Electrical,5.5,60.8,94.0,1,64.5
CS2141,Student 142,Electrical,7.6,67.3,97.0,0,71.2
CS2142,Student 143,Computer Science,8.5,94.1,96.2,3,86.5
CS2143,Student 144,Civil,7.4,35.2,33.8,1,40.0
CS2144,Student 145,Electrical,7.5,85.1,84.0,0,74.2
CS2145,Student 146,Mechanical,8.8,36.4,71.8,2,55.7
CS2146,Student 147,Mechanical,6.1,84.8,34.3,3,59.4
CS2147,Student 148,Electrical,5.5,55.6,42.7,2,48.1
CS2148,Student 149,Mechanical,6.8,40.5,72.9,1,52.7
CS2149,Student 150,Civil,5.9,50.2,44.2,0,45.1
CS2150,Student 151,Computer Science,5.4,68.6,35.8,3,52.0
CS2151,Student 152,Electrical,7.8,78.6,35.6,3,60.7
CS2152,Student 153,Mechanical,7.3,87.7,92.6,0,77.5
CS2153,Student 154,Electrical,9.7,85.1,31.5,2,64.9
CS2154,Student 155,Mechanical,5.5,79.5,39.5,1,55.6
CS2155,Student 156,Civil,6.0,60.5,91.6,0,63.7
CS2156,Student 157,Mechanical,5.9,38.3,85.9,1,53.9
CS2157,Student 158,Computer Science,6.9,49.5,39.0,3,48.3
CS2158,Student 159,Mechanical,5.8,73.4,99.8,3,73.9
CS2159,Student 160,Mechanical,8.8,32.4,91.7,1,59.1
CS2160,Student 161,Civil,8.4,38.7,41.8,1,45.8
CS2161,Student 162,Computer Science,9.0,52.7,89.8,1,67.0
CS2162,Student 163,Computer Science,8.0,80.1,47.5,2,64.3
CS2163,Student 164,Civil,5.7,44.1,88.7,1,56.6
CS2164,Student 165,Computer Science,7.4,94.4,59.7,0,70.5
CS2165,Student 166,Mechanical,7.1,71.0,98.4,0,72.1
CS2166,Student 167,Mechanical,5.3,86.6,30.2,3,57.3
CS2167,Student 168,Computer Science,7.8,55.9,67.3,1,59.1
CS2168,Student 169,Civil,8.4,35.2,53.0,2,48.8
CS2169,Student 170,Computer Science,8.8,48.8,91.3,2,66.5
CS2170,Student 171,Mechanical,7.7,93.4,83.3,3,80.8
CS2171,Student 172,Electrical,7.2,76.4,38.7,0,56.6
CS2172,Student 173,Electrical,7.0,35.1,58.9,0,45.7
CS2173,Student 174,Electrical,6.5,49.1,65.9,3,55.4
CS2174,Student 175,Electrical,8.1,84.4,88.5,2,78.5
CS2175,Student 176,Electrical,7.0,45.1,82.2,3,59.7
CS2176,Student 177,Electrical,8.9,83.9,87.4,2,79.6
CS2177,Student 178,Computer Science,7.8,37.1,69.2,3,54.2
CS2178,Student 179,Mechanical,9.6,43.2,51.9,3,55.1
CS2179,Student 180,Computer Science,9.6,65.6,43.1,3,61.4
CS2180,Student 181,Civil,6.0,53.4,81.9,2,59.9
CS2181,Student 182,Electrical,6.2,78.5,60.8,3,65.0
CS2182,Student 183,Electrical,8.9,31.0,33.4,3,43.2
CS2183,Student 184,Mechanical,8.4,39.4,67.2,3,55.7
CS2184,Student 185,Computer Science,9.9,36.2,48.0,3,51.7
CS2185,Student 186,Electrical,9.4,91.4,74.7,0,77.8
CS2186,Student 187,Civil,6.5,36.5,79.1,0,51.3
CS2187,Student 188,Computer Science,7.3,83.6,34.6,0,58.4
CS2188,Student 189,Computer Science,7.5,62.6,39.5,3,54.9
CS2189,Student 190,Civil,7.0,74.8,83.9,0,69.1
CS2190,Student 191,Electrical,7.6,92.7,61.3,1,71.7
CS2191,Student 192,Mechanical,9.0,90.5,53.4,3,73.2
CS2192,Student 193,Civil,6.7,93.9,81.4,2,77.4
CS2193,Student 194,Computer Science,9.3,34.4,85.6,2,60.0
CS2194,Student 195,Computer Science,7.7,33.2,57.4,3,48.9
CS2195,Student 196,Computer Science,8.1,84.4,59.2,2,69.7
CS2196,Student 197,Computer Science,7.7,62.1,84.9,1,66.7
CS2197,Student 198,Computer Science,7.4,80.8,99.9,2,79.1
CS2198,Student 199,Computer Science,9.3,83.4,43.4,1,66.0
CS2199,Student 200,Mechanical,7.1,44.9,79.8,3,59.1
CS2200,Student 201,Electrical,5.8,75.6,57.0,1,59.9
CS2201,Student 202,Electrical,6.4,95.8,36.4,2,64.0
CS2202,Student 203,Mechanical,9.4,89.1,97.7,3,86.8
CS2203,Student 204,Computer Science,6.1,31.6,53.2,0,40.8
CS2204,Student 205,Mechanical,5.7,97.1,54.3,2,68.5
CS2205,Student 206,Mechanical,6.7,61.5,41.2,1,51.4
CS2206,Student 207,Computer Science,5.5,50.9,78.5,2,56.9
CS2207,Student 208,Electrical,5.8,38.4,72.5,3,51.7
CS2208,Student 209,Electrical,5.2,65.3,52.6,0,52.3
CS2209,Student 210,Electrical,6.4,89.7,77.2,3,74.8
CS2210,Student 211,Computer Science,5.0,58.7,52.6,1,50.3
CS2211,Student 212,Electrical,7.5,41.4,73.1,3,56.5
CS2212,Student 213,Computer Science,5.4,51.3,67.3,1,52.5
CS2213,Student 214,Electrical,6.3,63.2,50.7,0,53.1
CS2214,Student 215,Computer Science,5.9,30.7,46.1,0,37.9
CS2215,Student 216,Mechanical,6.5,73.2,71.4,3,66.7
CS2216,Student 217,Computer Science,5.5,92.6,53.7,1,65.2
CS2217,Student 218,Electrical,6.0,37.6,85.3,1,53.6
CS2218,Student 219,Computer Science,5.1,70.6,89.4,1,66.3
CS2219,Student 220,Electrical,9.7,97.6,95.9,1,88.2
CS2220,Student 221,Civil,9.2,60.9,42.7,1,56.6
CS2221,Student 222,Mechanical,7.7,86.4,67.7,3,73.3
CS2222,Student 223,Civil,8.4,39.9,62.2,2,53.4
CS2223,Student 224,Electrical,5.0,81.2,69.7,1,64.4
CS2224,Student 225,Civil,6.0,34.3,55.2,3,45.3
CS2225,Student 226,Mechanical,7.9,74.2,54.2,2,63.7
CS2226,Student 227,Civil,6.0,45.0,54.8,3,49.4
CS2227,Student 228,Computer Science,9.2,45.7,66.6,2,58.7
CS2228,Student 229,Computer Science,5.6,53.1,61.9,3,54.0
CS2229,Student 230,Civil,6.7,82.9,77.3,2,71.8
CS2230,Student 231,Civil,6.2,40.3,75.0,2,53.0
CS2231,Student 232,Electrical,8.1,75.0,74.0,3,71.4
CS2232,Student 233,Electrical,6.7,94.2,51.9,1,67.7
CS2233,Student 234,Electrical,6.9,81.0,55.4,2,64.8
CS2234,Student 235,Mechanical,7.7,80.7,87.4,1,74.9
CS2235,Student 236,Civil,8.7,82.7,69.6,1,72.4
CS2236,Student 237,Civil,5.5,51.1,76.7,2,56.5
CS2237,Student 238,Mechanical,9.9,84.8,91.3,0,81.1
CS2238,Student 239,Computer Science,8.2,83.1,67.9,3,73.0
CS2239,Student 240,Electrical,9.2,80.0,54.3,0,66.7
CS2240,Student 241,Civil,7.0,85.8,65.1,2,69.8
CS2241,Student 242,Electrical,8.8,41.0,89.4,2,62.8
CS2242,Student 243,Computer Science,6.6,32.7,80.2,1,51.3
CS2243,Student 244,Electrical,6.5,93.2,50.2,3,68.3
CS2244,Student 245,Computer Science,8.9,53.9,90.3,1,67.5
CS2245,Student 246,Computer Science,5.5,82.8,55.3,3,63.7
CS2246,Student 247,Computer Science,5.9,67.4,57.8,3,59.1
CS2247,Student 248,Electrical,8.6,66.2,98.3,3,76.2
CS2248,Student 249,Computer Science,6.1,55.1,82.0,0,58.8
CS2249,Student 250,Mechanical,6.5,67.4,92.8,2,69.8
CS2250,Student 251,Mechanical,9.7,43.0,37.2,1,48.8
CS2251,Student 252,Mechanical,6.5,36.4,85.5,3,56.2
CS2252,Student 253,Civil,5.7,53.4,53.5,1,49.8
CS2253,Student 254,Electrical,9.2,58.5,43.8,3,57.9
CS2254,Student 255,Mechanical,6.0,56.1,70.8,1,56.7
CS2255,Student 256,Mechanical,9.9,74.7,97.2,2,80.8
CS2256,Student 257,Mechanical,7.0,30.9,59.3,2,46.1
CS2257,Student 258,Electrical,7.2,80.1,88.8,1,74.1
CS2258,Student 259,Computer Science,9.0,45.8,87.7,2,64.6
CS2259,Student 260,Civil,7.0,71.3,69.5,1,64.4
CS2260,Student 261,Civil,7.7,44.4,73.1,3,58.1
CS2261,Student 262,Electrical,6.6,44.7,38.3,2,44.6
CS2262,Student 263,Mechanical,8.7,75.2,95.7,0,76.2
CS2263,Student 264,Electrical,5.7,92.5,43.4,2,63.4
CS2264,Student 265,Electrical,9.7,71.3,72.9,1,70.8
CS2265,Student 266,Electrical,6.4,72.6,95.2,1,71.4
CS2266,Student 267,Electrical,7.9,92.8,70.8,1,75.2
CS2267,Student 268,Mechanical,9.5,94.7,75.7,0,79.6
CS2268,Student 269,Electrical,7.0,53.4,86.8,3,64.4
CS2269,Student 270,Electrical,7.1,76.4,86.1,1,71.6
CS2270,Student 271,Computer Science,8.7,38.6,45.9,1,47.6
CS2271,Student 272,Computer Science,6.8,71.3,71.5,3,66.6
CS2272,Student 273,Mechanical,9.7,97.8,94.9,2,89.0
CS2273,Student 274,Civil,8.3,48.5,83.7,3,64.1
CS2274,Student 275,Mechanical,7.3,86.0,47.1,1,64.1
CS2275,Student 276,Mechanical,9.3,96.7,59.0,0,75.0
CS2276,Student 277,Mechanical,9.9,78.9,32.9,3,64.2
CS2277,Student 278,Electrical,6.4,58.4,75.6,3,61.8
CS2278,Student 279,Computer Science,9.6,49.9,91.0,1,67.5
CS2279,Student 280,Computer Science,9.7,32.8,97.9,0,61.9
CS2280,Student 281,Mechanical,5.2,51.9,61.6,3,52.6
CS2281,Student 282,Civil,7.7,30.9,57.2,2,46.9
CS2282,Student 283,Mechanical,9.6,53.9,47.1,1,55.9
CS2283,Student 284,Civil,7.4,31.9,79.0,2,53.3
CS2284,Student 285,Civil,5.5,99.3,49.4,2,67.5
CS2285,Student 286,Civil,9.5,71.5,85.0,0,73.1
CS2286,Student 287,Computer Science,6.7,92.3,79.9,1,75.3
CS2287,Student 288,Computer Science,9.1,44.7,86.0,2,63.9
CS2288,Student 289,Mechanical,7.0,34.3,69.3,1,49.5
CS2289,Student 290,Civil,5.4,34.2,61.3,2,44.9
CS2290,Student 291,Civil,9.9,75.0,98.6,0,79.4
CS2291,Student 292,Computer Science,7.7,71.0,83.8,1,69.9
CS2292,Student 293,Electrical,6.1,48.0,66.8,1,52.4
CS2293,Student 294,Computer Science,7.7,85.3,63.7,2,70.6
CS2294,Student 295,Civil,6.5,79.1,43.3,1,58.6
CS2295,Student 296,Computer Science,8.7,57.8,74.6,1,63.9
CS2296,Student 297,Electrical,6.6,93.3,42.9,3,66.4
CS2297,Student 298,Mechanical,7.0,82.1,66.7,1,67.8
CS2298,Student 299,Mechanical,9.8,90.4,86.8,0,81.8
CS2299,Student 300,Electrical,5.6,93.4,55.7,2,67.3
CS2300,Student 301,Electrical,6.4,31.4,46.3,1,40.2
CS2301,Student 302,Electrical,6.3,41.9,86.7,1,56.4
CS2302,Student 303,Computer Science,6.7,56.9,44.8,2,51.6
CS2303,Student 304,Electrical,7.6,54.0,60.9,0,55.1
CS2304,Student 305,Electrical,7.1,99.6,40.5,2,68.2
CS2305,Student 306,Computer Science,8.9,75.4,43.8,3,64.1
CS2306,Student 307,Civil,9.0,34.9,82.4,2,58.7
CS2307,Student 308,Computer Science,6.6,63.9,33.6,0,48.8
CS2308,Student 309,Mechanical,5.5,51.3,77.2,0,54.7
CS2309,Student 310,Civil,8.3,37.6,52.0,0,47.2
CS2310,Student 311,Computer Science,5.8,62.3,53.5,2,54.6
CS2311,Student 312,Computer Science,7.4,32.1,47.7,2,44.0
CS2312,Student 313,Civil,9.6,61.3,41.8,1,57.3
CS2313,Student 314,Electrical,6.4,41.1,56.0,0,46.0
CS2314,Student 315,Civil,7.4,82.0,56.8,2,66.6
CS2315,Student 316,Civil,9.2,99.4,81.5,1,83.6
CS2316,Student 317,Mechanical,6.8,40.3,85.9,1,56.5
CS2317,Student 318,Computer Science,9.5,52.2,85.7,2,67.6
CS2318,Student 319,Electrical,9.8,91.2,51.6,1,72.6
CS2319,Student 320,Electrical,9.4,39.5,43.7,3,50.7
CS2320,Student 321,Electrical,7.5,43.6,59.3,2,52.2
CS2321,Student 322,Civil,5.2,35.4,48.5,0,39.1
CS2322,Student 323,Civil,7.0,87.7,33.7,0,59.2
CS2323,Student 324,Computer Science,5.9,47.3,40.5,1,43.9
CS2324,Student 325,Mechanical,5.4,67.5,75.9,0,60.6
CS2325,Student 326,Mechanical,8.2,87.0,37.2,2,64.4
CS2326,Student 327,Computer Science,5.5,43.1,34.6,1,39.6
CS2327,Student 328,Electrical,7.1,63.9,79.3,1,64.6
CS2328,Student 329,Electrical,9.8,95.7,48.8,2,74.5
CS2329,Student 330,Civil,9.6,33.6,70.6,3,56.8
CS2330,Student 331,Civil,8.1,98.4,43.7,2,70.7
CS2331,Student 332,Civil,8.2,34.4,54.1,3,49.4
CS2332,Student 333,Computer Science,6.8,49.0,51.7,1,49.7
CS2333,Student 334,Computer Science,7.4,96.6,39.7,0,65.3
CS2334,Student 335,Computer Science,8.7,68.5,86.6,1,71.8
CS2335,Student 336,Electrical,8.9,30.3,84.0,1,56.1
CS2336,Student 337,Computer Science,7.1,69.2,86.7,2,69.9
CS2337,Student 338,Electrical,9.3,98.7,35.6,3,71.8
CS2338,Student 339,Computer Science,9.5,63.7,40.8,0,56.7
CS2339,Student 340,Electrical,9.3,50.1,99.0,3,71.3
CS2340,Student 341,Electrical,6.8,91.8,45.3,1,64.9
CS2341,Student 342,Mechanical,7.3,90.9,88.6,2,79.5
CS2342,Student 343,Civil,6.0,65.4,58.5,2,57.7
CS2343,Student 344,Electrical,8.2,65.0,75.3,2,67.0
CS2344,Student 345,Electrical,6.1,79.1,48.1,1,59.3
CS2345,Student 346,Civil,6.8,83.3,77.2,2,72.1
CS2346,Student 347,Civil,9.3,64.5,57.8,1,62.7
CS2347,Student 348,Civil,7.0,49.4,52.4,1,50.5
CS2348,Student 349,Computer Science,9.3,90.2,98.0,3,87.1
CS2349,Student 350,Computer Science,8.6,80.9,85.0,1,76.1
CS2350,Student 351,Civil,9.4,31.6,70.5,1,53.6
CS2351,Student 352,Mechanical,5.1,94.9,49.1,0,62.9
CS2352,Student 353,Civil,9.4,97.9,34.4,0,68.3
CS2353,Student 354,Civil,6.6,83.1,78.6,2,72.0
CS2354,Student 355,Civil,5.6,78.3,46.7,1,57.5
CS2355,Student 356,Electrical,6.5,89.6,97.5,3,81.1
CS2356,Student 357,Electrical,7.6,54.5,44.0,2,52.2
CS2357,Student 358,Mechanical,6.8,89.2,77.8,0,72.6
CS2358,Student 359,Electrical,6.1,79.3,73.8,2,68.1
CS2359,Student 360,Mechanical,6.6,52.4,44.0,0,47.4
CS2360,Student 361,Mechanical,6.0,56.5,74.6,0,57.0
CS2361,Student 362,Mechanical,5.2,95.9,48.6,0,63.3
CS2362,Student 363,Electrical,9.7,63.2,50.5,3,62.8
CS2363,Student 364,Computer Science,6.5,75.5,42.7,0,56.0
CS2364,Student 365,Civil,9.4,72.6,52.5,1,64.6
CS2365,Student 366,Civil,5.2,84.9,98.1,3,76.8
CS2366,Student 367,Electrical,6.2,42.0,73.2,1,52.2
CS2367,Student 368,Computer Science,5.1,56.2,57.5,2,51.9
CS2368,Student 369,Computer Science,8.7,78.4,92.7,2,78.6
CS2369,Student 370,Electrical,8.5,79.4,51.9,3,67.3
CS2370,Student 371,Civil,9.5,31.0,43.5,3,47.5
CS2371,Student 372,Electrical,8.5,34.5,53.0,3,49.7
CS2372,Student 373,Civil,8.5,83.3,60.3,0,68.4
CS2373,Student 374,Civil,8.4,43.3,45.1,2,49.7
CS2374,Student 375,Mechanical,6.7,30.8,44.4,0,39.0
CS2375,Student 376,Computer Science,9.1,99.0,50.4,0,72.9
CS2376,Student 377,Electrical,6.1,65.2,53.8,2,56.4
CS2377,Student 378,Mechanical,7.7,39.8,63.0,0,50.2
CS2378,Student 379,Mechanical,8.8,59.3,92.0,3,71.9
CS2379,Student 380,Electrical,6.5,81.2,73.8,1,68.6
CS2380,Student 381,Electrical,7.7,51.8,68.6,0,56.7
CS2381,Student 382,Computer Science,7.5,45.3,39.4,3,47.9
CS2382,Student 383,Electrical,5.1,79.7,30.6,0,51.3
CS2383,Student 384,Computer Science,7.5,43.8,30.3,2,43.6
CS2384,Student 385,Computer Science,8.5,49.4,70.5,1,58.9
CS2385,Student 386,Electrical,7.6,36.0,45.5,1,44.2
CS2386,Student 387,Electrical,9.1,51.9,47.5,3,56.2
CS2387,Student 388,Computer Science,7.1,96.8,86.9,0,79.0
CS2388,Student 389,Civil,9.3,65.0,87.1,2,72.7
CS2389,Student 390,Computer Science,8.5,53.6,35.4,0,49.1
CS2390,Student 391,Computer Science,6.4,47.2,96.3,0,60.6
CS2391,Student 392,Mechanical,6.3,39.1,68.0,3,51.6
CS2392,Student 393,Computer Science,9.5,77.8,91.7,0,77.6
CS2393,Student 394,Electrical,8.6,86.2,42.9,3,67.5
CS2394,Student 395,Mechanical,5.2,65.6,88.5,2,65.2
CS2395,Student 396,Computer Science,7.9,35.1,72.6,2,53.6
CS2396,Student 397,Civil,7.9,70.0,81.7,0,68.3
CS2397,Student 398,Computer Science,7.5,30.1,78.1,2,52.5
CS2398,Student 399,Computer Science,7.8,59.4,84.5,3,67.7
CS2399,Student 400,Electrical,5.6,95.4,69.5,3,73.2
CS2400,Student 401,Civil,7.6,46.8,57.9,0,51.3
CS2401,Student 402,Computer Science,9.5,61.7,64.1,2,64.9
CS2402,Student 403,Civil,8.9,78.6,100.0,3,82.2
CS2403,Student 404,Mechanical,8.5,30.2,77.9,2,54.5
CS2404,Student 405,Electrical,9.9,38.9,67.9,0,55.7
CS2405,Student 406,Computer Science,7.4,98.8,41.7,3,69.8
CS2406,Student 407,Electrical,7.8,97.8,70.4,2,77.8
CS2407,Student 408,Computer Science,9.0,40.3,30.6,2,45.3
CS2408,Student 409,Electrical,7.4,68.6,66.0,0,62.0
CS2409,Student 410,Computer Science,5.2,82.4,61.6,0,61.8
CS2410,Student 411,Civil,8.2,73.5,68.1,0,66.2
CS2411,Student 412,Mechanical,7.1,63.0,73.6,2,63.5
CS2412,Student 413,Civil,6.9,67.1,47.5,2,56.9
CS2413,Student 414,Electrical,7.3,41.6,54.7,1,48.6
CS2414,Student 415,Mechanical,8.0,92.3,74.0,2,77.1
CS2415,Student 416,Mechanical,5.7,64.9,66.7,3,60.4
CS2416,Student 417,Mechanical,9.7,51.1,88.5,0,66.4
CS2417,Student 418,Electrical,6.3,74.5,80.8,1,67.6
